productid,weight,fat_content,category,outlet_type
100000,20.75,Low Fat,Snack Foods,Supermarket Type1
100001,8.3,reg,Dairy,Supermarket Type1
100002,14.6,Low Fat,Others,Grocery Store
100003,7.315,Low Fat,Snack Foods,Supermarket Type1
100004,,Regular,Dairy,Supermarket Type3
100005,9.8,Regular,Fruits and Vegetables,Supermarket Type1
100006,19.35,Regular,Baking Goods,Supermarket Type2
100007,,Low Fat,Baking Goods,Supermarket Type3
100008,6.305,Regular,Snack Foods,Supermarket Type1
100009,5.985,Low Fat,Baking Goods,Supermarket Type1
100010,16.6,Low Fat,Fruits and Vegetables,Supermarket Type1
100011,6.59,Low Fat,Fruits and Vegetables,Supermarket Type1
100012,,Low Fat,Health and Hygiene,Grocery Store
100013,4.785,Low Fat,Breads,Supermarket Type1
100014,16.75,LF,Hard Drinks,Supermarket Type1
100015,6.135,Regular,Baking Goods,Supermarket Type1
100016,19.85,Low Fat,Seafood,Supermarket Type1
100017,17.85,Low Fat,Soft Drinks,Supermarket Type2
100018,,Low Fat,Household,Supermarket Type3
100019,13.6,Low Fat,Snack Foods,Grocery Store
100020,7.1,Low Fat,Fruits and Vegetables,Supermarket Type1
100021,19.2,Low Fat,Others,Supermarket Type1
100022,13.65,LF,Frozen Foods,Supermarket Type1
100023,,Low Fat,Others,Grocery Store
100024,19.2,Low Fat,Snack Foods,Supermarket Type1
100025,6.785,Regular,Snack Foods,Grocery Store
100026,13,Low Fat,Household,Supermarket Type1
100027,5.825,Low Fat,Household,Supermarket Type1
100028,13.8,Low Fat,Dairy,Supermarket Type1
100029,12.8,LF,Fruits and Vegetables,Supermarket Type1
100030,,Low Fat,Household,Grocery Store
100031,9.5,Regular,Meat,Supermarket Type2
100032,12.5,Low Fat,Household,Supermarket Type2
100033,,Regular,Fruits and Vegetables,Supermarket Type3
100034,5.78,Low Fat,Breads,Supermarket Type1
100035,,Regular,Meat,Supermarket Type3
100036,,Low Fat,Canned,Supermarket Type3
100037,10.395,Low Fat,Baking Goods,Grocery Store
100038,18.35,Low Fat,Household,Supermarket Type1
100039,,Low Fat,Household,Supermarket Type3
100040,21.1,Low Fat,Household,Supermarket Type2
100041,19.75,LF,Fruits and Vegetables,Grocery Store
100042,8.43,Low Fat,Household,Supermarket Type1
100043,15.35,Low Fat,Others,Supermarket Type2
100044,6.71,Low Fat,Breads,Grocery Store
100045,10.195,Low Fat,Canned,Supermarket Type1
100046,11.65,Low Fat,Dairy,Grocery Store
100047,12.85,Low Fat,Health and Hygiene,Supermarket Type1
100048,12.15,Low Fat,Frozen Foods,Supermarket Type1
100049,18.25,Low Fat,Snack Foods,Supermarket Type1
100050,5.98,Low Fat,Hard Drinks,Supermarket Type1
100051,12.65,Low Fat,Meat,Supermarket Type1
100052,13.1,Regular,Fruits and Vegetables,Supermarket Type1
100053,20.7,Regular,Fruits and Vegetables,Supermarket Type1
100054,,Regular,Fruits and Vegetables,Supermarket Type3
100055,7.855,Low Fat,Canned,Supermarket Type1
100056,13.35,Regular,Snack Foods,Supermarket Type1
100057,17.25,LF,Frozen Foods,Supermarket Type1
100058,,Regular,Snack Foods,Grocery Store
100059,10.395,Regular,Dairy,Supermarket Type1
100060,8.315,Regular,Baking Goods,Supermarket Type1
100061,20.7,Regular,Dairy,Supermarket Type1
100062,,Low Fat,Household,Supermarket Type3
100063,21.35,Low Fat,Fruits and Vegetables,Supermarket Type1
100064,5.88,Low Fat,Frozen Foods,Supermarket Type1
100065,,Regular,Starchy Foods,Supermarket Type3
100066,7.435,low fat,Starchy Foods,Supermarket Type1
100067,14.65,Low Fat,Household,Supermarket Type1
100068,14,Low Fat,Starchy Foods,Supermarket Type1
100069,18.2,Low Fat,Household,Supermarket Type1
100070,17.6,Low Fat,Household,Supermarket Type1
100071,,Low Fat,Baking Goods,Supermarket Type3
100072,7.71,Regular,Dairy,Supermarket Type2
100073,7.81,Low Fat,Soft Drinks,Supermarket Type1
100074,16.35,Low Fat,Household,Supermarket Type1
100075,13,Regular,Soft Drinks,Supermarket Type1
100076,,Low Fat,Snack Foods,Grocery Store
100077,13.35,Low Fat,Frozen Foods,Supermarket Type1
100078,,Low Fat,Hard Drinks,Grocery Store
100079,16.1,LF,Dairy,Supermarket Type1
100080,17.85,Low Fat,Soft Drinks,Supermarket Type1
100081,5.34,Regular,Snack Foods,Supermarket Type2
100082,5.51,Low Fat,Health and Hygiene,Supermarket Type1
100083,6.61,Regular,Snack Foods,Supermarket Type1
100084,6.38,Low Fat,Dairy,Supermarket Type1
100085,16.1,Regular,Fruits and Vegetables,Supermarket Type1
100086,13.65,LF,Breads,Supermarket Type1
100087,19.2,Regular,Starchy Foods,Supermarket Type1
100088,8.71,Low Fat,Canned,Supermarket Type1
100089,17.75,Regular,Dairy,Grocery Store
100090,19.35,Regular,Meat,Supermarket Type1
100091,,Low Fat,Dairy,Supermarket Type3
100092,,Low Fat,Frozen Foods,Supermarket Type3
100093,6.44,Low Fat,Breads,Supermarket Type2
100094,12.6,Low Fat,Health and Hygiene,Supermarket Type1
100095,7.935,Low Fat,Dairy,Supermarket Type1
100096,18.25,Low Fat,Snack Foods,Supermarket Type1
100097,18.5,Regular,Dairy,Supermarket Type2
100098,6.035,Regular,Baking Goods,Supermarket Type1
100099,11.8,Low Fat,Health and Hygiene,Supermarket Type1
100100,6.26,Regular,Meat,Supermarket Type2
100101,16.5,Regular,Baking Goods,Supermarket Type1
100102,15.7,Regular,Canned,Supermarket Type1
100103,6.635,reg,Baking Goods,Supermarket Type1
100104,,low fat,Soft Drinks,Grocery Store
100105,,Low Fat,Household,Supermarket Type3
100106,,Low Fat,Canned,Grocery Store
100107,14,Regular,Snack Foods,Supermarket Type1
100108,,Regular,Dairy,Supermarket Type3
100109,17.75,Low Fat,Dairy,Supermarket Type2
100110,17.75,Low Fat,Fruits and Vegetables,Grocery Store
100111,8.155,Low Fat,Meat,Supermarket Type1
100112,17.25,Low Fat,Canned,Grocery Store
100113,,Regular,Frozen Foods,Supermarket Type3
100114,6.175,Regular,Meat,Supermarket Type1
100115,,Low Fat,Hard Drinks,Supermarket Type3
100116,8.18,Regular,Frozen Foods,Supermarket Type1
100117,8.355,Low Fat,Baking Goods,Supermarket Type1
100118,6.905,Regular,Dairy,Supermarket Type1
100119,20.35,Low Fat,Snack Foods,Supermarket Type1
100120,,Low Fat,Baking Goods,Supermarket Type3
100121,19.25,Low Fat,Household,Supermarket Type1
100122,5.48,Low Fat,Frozen Foods,Supermarket Type1
100123,5.425,Regular,Baking Goods,Supermarket Type1
100124,12.1,Low Fat,Baking Goods,Supermarket Type2
100125,,Regular,Baking Goods,Supermarket Type3
